City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,nishihara,26.1842,127.7558,59.0,58,20,2.3,JP,1613825243
265,matay,28.419,30.7792,67.98,26,0,13.76,EG,1613824921
266,olden,61.8364,6.8064,43.54,72,100,8.7,NO,1613825243
267,santa marta,11.2408,-74.199,80.01,70,20,7.0,CO,1613825244
268,ouesso,1.6136,16.0517,96.57,18,35,3.51,CG,1613825244
269,san clemente,33.427,-117.612,46.0,70,1,3.44,US,1613825244
270,ouango,4.3133,22.5552,104.97,12,23,1.19,CF,1613825244
271,celestun,20.8667,-90.4,67.12,68,80,13.29,MX,1613825244
272,markivka,49.5229,39.5705,21.61,89,93,9.37,UA,1613825245
273,gbarnga,6.9956,-9.4722,88.77,57,100,0.85,LR,1613825245
274,narsaq,60.9167,-46.05,21.2,73,75,2.89,GL,1613824752
275,sohag,26.557,31.6948,68.0,30,0,17.27,EG,1613825246
276,beringovskiy,63.05,179.3167,-19.7,84,0,9.48,RU,1613824729
277,port blair,11.6667,92.75,80.51,74,15,14.25,IN,1613824771
278,pangai,-19.8,-174.35,80.6,65,75,13.8,TO,1613825250
279,eureka,40.8021,-124.1637,48.0,89,100,8.01,US,1613824823
280,kagoro,9.6,8.3833,93.33,12,0,5.08,NG,1613825252
281,daura,11.5538,11.4085,85.26,13,91,7.58,NG,1613825252
282,talnakh,69.4865,88.3972,-31.16,69,1,1.92,RU,1613824676
283,truckee,39.328,-120.1833,25.0,74,40,8.05,US,1613825253
284,sitka,57.0531,-135.33,37.4,75,90,8.05,US,1613824702
285,langsa,4.4683,97.9683,75.72,84,23,0.96,ID,1613825225
286,torbay,47.6666,-52.7314,25.0,73,90,5.75,CA,1613824721
287,faya,18.3851,42.4509,66.2,77,40,20.71,SA,1613824679
288,borovoy,55.4333,86.0833,-4.0,71,20,8.95,RU,1613825254
289,virginia beach,36.8529,-75.978,34.0,60,75,13.8,US,1613825115
290,okolona,38.1412,-85.6877,14.0,85,75,3.44,US,1613825255
291,graaff-reinet,-32.2522,24.5308,82.0,46,0,1.99,ZA,1613825211
292,erenhot,43.6475,111.9767,37.53,66,25,16.73,CN,1613825255
293,slave lake,55.2834,-114.769,33.8,47,75,17.27,CA,1613825255
294,asaba,6.2006,6.7338,101.57,9,0,3.24,NG,1613825255
295,saint-augustin,51.226,-58.6502,0.03,87,0,7.67,CA,1613824852
296,port moresby,-9.4431,147.1797,77.0,83,20,11.5,PG,1613824843
297,somerset,40.5668,-74.5496,23.0,68,1,7.45,US,1613825256
298,oranjestad,12.524,-70.027,78.8,73,20,14.97,AW,1613824894
299,paragominas,-2.9667,-47.4833,82.53,69,14,4.74,BR,1613825256
300,henties bay,-22.116,14.2845,66.61,71,0,13.85,NA,1613824725
301,vestmannaeyjar,63.4427,-20.2734,42.8,87,40,23.02,IS,1613824723
302,dubrovka,53.6907,33.5071,17.6,62,0,6.71,RU,1613825257
303,suntar,62.1444,117.6319,-27.24,85,87,1.12,RU,1613825257
